Date,Day,New Deaths,Daily,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
3/27/2020,1,0,0,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,3417,92,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/28/2020,2,9,489,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,3904,114,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/29/2020,3,4,27,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,4256,136,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/30/2020,4,0,37,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,0,0,,4579,159,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
3/31/2020,5,5,33,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,0,0,2,1,1,0,187045000,0,,5717,201,74.54,74.54,78.57,78.57,58.01,58.01,64.02,64.02,25,25
4/1/2020,6,2,111,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,0,,1,1.18E+11,0,2,1,1,0,0,0,,6836,241,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/2/2020,7,11,101,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,125175000,0,2,1,1,0,9191176,0,,7910,299,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/3/2020,8,5,69,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,1758230000,0,,9056,359,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/4/2020,9,2,115,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,10278,432,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/5/2020,10,4,86,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,11130,486,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/6/2020,11,5,42,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,12056,553,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/7/2020,12,12,141,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,13717,667,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/8/2020,13,14,198,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,783527,0,2,1,1,0,63171900,0,,15927,800,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/9/2020,14,9,184,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,1958820,0,,17857,941,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/10/2020,15,10,175,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,783527000,0,,19638,1056,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/11/2020,16,6,97,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,2355300,0,,20727,1124,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/12/2020,17,8,91,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,22169,1223,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/13/2020,18,9,326,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,50157800,0,,23430,1328,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/14/2020,19,25,71,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,28097700,0,,25262,1532,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/15/2020,20,27,126,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,7973660,0,,28320,1736,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/16/2020,21,28,140,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,227819000,0,,30425,1924,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/17/2020,22,24,287,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,113909000,0,2,1,1,0,0,0,,33682,2141,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/18/2020,23,18,113,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,36599,2347,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/19/2020,24,8,67,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,38654,2462,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/20/2020,25,12,117,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,892291000,0,2,1,1,0,0,0,,40581,2575,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/21/2020,26,36,344,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,14674800,0,,43079,2741,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/22/2020,27,20,69,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,45757,2906,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/23/2020,28,19,371,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,49492,3313,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/24/2020,29,25,64,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,4528169014,0,2,1,1,0,0,0,,52995,3670,74.54,74.54,78.57,78.57,61.86,61.86,64.02,64.02,50,50
4/25/2020,30,20,390,3,0,3,0,2,0,3,0,2,0,1,0,2,0,4,1,1,1,0,0,2,1,1,0,0,0,,58509,4016,77.31,77.31,80.48,80.48,63.78,63.78,66.29,66.29,50,50
